Loading environment football failed: No module named 'gfootball'
-- 7.185823394916952
         24794382 function calls (23595294 primitive calls) in 7.519 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 __init__.py:24(<module>)
 1163/247    0.002    0.000    0.002    0.000 sre_parse.py:174(getwidth)
      115    0.000    0.000    0.002    0.000 abc.py:125(__new__)
       95    0.000    0.000    0.002    0.000 typing.py:600(__init__)
      183    0.000    0.000    0.002    0.000 inspect.py:2872(__eq__)
     3234    0.002    0.000    0.002    0.000 functools.py:445(lru_cache)
        1    0.000    0.000    0.002    0.002 ciphers.py:5(<module>)
        1    0.000    0.000    0.002    0.002 linalg.py:10(<module>)
        2    0.000    0.000    0.002    0.001 rsa.py:5(<module>)
      792    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
     3192    0.002    0.000    0.002    0.000 helpers.py:124(__init__)
        1    0.000    0.000    0.002    0.002 configparser.py:139(<module>)
        1    0.000    0.000    0.002    0.002 general_name.py:5(<module>)
     1680    0.002    0.000    0.002    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
      411    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        6    0.000    0.000    0.002    0.000 getlimits.py:37(__init__)
     3303    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
     1342    0.001    0.000    0.002    0.000 pathlib.py:693(__str__)
        1    0.000    0.000    0.002    0.002 subprocess.py:656(__init__)
        1    0.000    0.000    0.002    0.002 __init__.py:97(<module>)
        1    0.000    0.000    0.002    0.002 reduction.py:10(<module>)
      887    0.001    0.000    0.002    0.000 random.py:224(_randbelow)
     3509    0.001    0.000    0.002    0.000 validators.py:695(pop_scope)
        1    0.000    0.000    0.002    0.002 subprocess.py:1383(_execute_child)
       57    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        1    0.000    0.000    0.002    0.002 header.py:5(<module>)
     3192    0.002    0.000    0.002    0.000 helpers.py:362(__init__)
      493    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
